MENACE 2: O
X_XO_XOXO; O; {(0, 1): O: 8, (1, 1): O: 2}
_OXXX___O; O; {(1, 2): O: 2, (2, 0): O: 1}
_OXXXO_XO; O; {(0, 0): O: 1, (2, 0): O: 4}
XOXOXXO__; O; {(2, 1): O: 1, (2, 2): O: 5}
_OX_XX_O_; O; {(1, 0): O: 1, (2, 0): O: 2, (2, 2): O: 2}
XOO_X__X_; O; {(2, 2): O: 141}
XXO_XX_OO; O; {(1, 0): O: 3, (2, 0): O: 21}
X_O_____X; O; {(0, 1): O: 5, (1, 0): O: 3, (1, 1): O: 1, (2, 0): O: 2}
XOO____XX; O; {(1, 0): O: 1, (1, 1): O: 4, (1, 2): O: 1, (2, 0): O: 3}
X_OX_O_X_; O; {(0, 1): O: 9, (1, 1): O: 3, (2, 0): O: 6, (2, 2): O: 3}
XOOXXO_X_; O; {(2, 0): O: 2, (2, 2): O: 24}
_X_XO__XO; O; {(0, 0): O: 6, (0, 2): O: 3, (1, 2): O: 3, (2, 0): O: 3}
XXOX__OOX; O; {(1, 1): O: 6, (1, 2): O: 1}
XX_XOO_XO; O; {(0, 2): O: 3, (2, 0): O: 2}
XOOX___X_; O; {(1, 1): O: 3, (2, 0): O: 6, (2, 2): O: 2}
OX__XO__X; O; {(0, 2): O: 3, (1, 0): O: 4, (2, 0): O: 1, (2, 1): O: 7}
XOX____OX; O; {(1, 0): O: 3, (1, 1): O: 6, (1, 2): O: 3, (2, 0): O: 2}
OX__XXO__; O; {(0, 2): O: 2, (1, 0): O: 18, (2, 1): O: 3, (2, 2): O: 2}
OX___XO_X; O; {(0, 2): O: 3, (1, 0): O: 21, (1, 1): O: 3, (2, 1): O: 3}
X_O_XO_X_; O; {(0, 1): O: 9, (1, 0): O: 2, (2, 0): O: 1, (2, 2): O: 27}
XOO_OXX_X; O; {(1, 0): O: 1, (2, 1): O: 30}
X__O_X_XO; O; {(0, 1): O: 4, (0, 2): O: 3, (1, 1): O: 3, (2, 0): O: 2}
XOXO_X_XO; O; {(1, 1): O: 6, (2, 0): O: 3}
OX_XX___O; O; {(0, 2): O: 1, (1, 2): O: 3}
OXXXOO__X; O; {(2, 0): O: 14, (2, 1): O: 18}
OX__X_X_O; O; {(0, 2): O: 4, (1, 0): O: 1, (1, 2): O: 1, (2, 1): O: 1}
_XXO__O_X; O; {(0, 0): O: 18, (1, 1): O: 2, (1, 2): O: 7, (2, 1): O: 2}
OXX___O_X; O; {(1, 0): O: 9, (1, 1): O: 3, (1, 2): O: 4, (2, 1): O: 3}
OXX_O_OXX; O; {(1, 0): O: 3, (1, 2): O: 11}
XXO_XXO_O; O; {(1, 0): O: 2, (2, 1): O: 9}
_X_OOXX__; O; {(0, 0): O: 3, (0, 2): O: 2, (2, 1): O: 2, (2, 2): O: 3}
_XXX_OO__; O; {(0, 0): O: 4, (1, 1): O: 2, (2, 1): O: 4, (2, 2): O: 4}
XO_OOX_XX; O; {(0, 2): O: 2}
XXO_XO___; O; {(1, 0): O: 3, (2, 0): O: 6, (2, 1): O: 3, (2, 2): O: 6}
XO_O___XX; O; {(0, 2): O: 1, (1, 1): O: 3, (1, 2): O: 1, (2, 0): O: 3}
XX__XOO__; O; {(0, 2): O: 1, (2, 2): O: 2}
XOO_XXOX_; O; {(1, 0): O: 1, (2, 2): O: 2}
X_O_XX_O_; O; {(0, 1): O: 3, (1, 0): O: 3, (2, 0): O: 6, (2, 2): O: 6}
XXO_XXOO_; O; {(1, 0): O: 3, (2, 2): O: 6}
O__OXX__X; O; {(0, 1): O: 2, (0, 2): O: 11, (2, 0): O: 15, (2, 1): O: 3}
X_OOOXX_X; O; {(2, 1): O: 69}
X_O_OXX__; O; {(0, 1): O: 6, (1, 0): O: 11, (2, 1): O: 3, (2, 2): O: 3}
