Overnight Menace 2: O
XOOXXO_X_; O; {(2, 0): O: 1, (2, 2): O: 48}
X_OO_XX__; O; {(1, 1): O: 1494, (2, 1): O: 1501, (2, 2): O: 2102}
X_O_X_X_O; O; {(0, 1): O: 3, (1, 0): O: 4, (1, 2): O: 45}
O__OX__XX; O; {(0, 1): O: 2, (0, 2): O: 2, (1, 2): O: 1, (2, 0): O: 39}
_X_XX_OO_; O; {(0, 0): O: 1, (0, 2): O: 2, (1, 2): O: 27, (2, 2): O: 204}
OXXXX_OO_; O; {(1, 2): O: 9, (2, 2): O: 117}
XXOOOX_X_; O; {(2, 0): O: 75, (2, 2): O: 12}
XOOX_XO_X; O; {(1, 1): O: 51}
_XXOOXXO_; O; {(0, 0): O: 1}
_X_O__X__; O; {(0, 2): O: 3, (1, 1): O: 686, (1, 2): O: 6, (2, 1): O: 13, (2, 2): O: 4}
_X_OX_X_O; O; {(2, 1): O: 1}
_X_O_X___; O; {(0, 2): O: 3434, (1, 1): O: 12, (2, 1): O: 24, (2, 2): O: 3183}
_XOO_XX__; O; {(1, 1): O: 2880, (2, 1): O: 1809, (2, 2): O: 1014}
O_XOXX___; O; {(0, 1): O: 8, (2, 0): O: 30, (2, 1): O: 1, (2, 2): O: 1}
OXXOXX__O; O; {(2, 0): O: 84, (2, 1): O: 2}
XO__X____; O; {(0, 2): O: 2, (1, 0): O: 1, (2, 0): O: 6, (2, 2): O: 8}
XO__XX_O_; O; {(0, 2): O: 1, (2, 2): O: 1}
OX_X_XOXO; O; {(1, 1): O: 21}
X_OX_XO__; O; {(0, 1): O: 12, (1, 1): O: 84, (2, 1): O: 6, (2, 2): O: 1}
OX_XX__O_; O; {(1, 2): O: 33443}
XXOO_XO_X; O; {(1, 1): O: 60, (2, 1): O: 1}
XX__OX_O_; O; {(0, 2): O: 20873, (1, 0): O: 8}
XXO_OXXO_; O; {(1, 0): O: 30268}
XX_OO__X_; O; {(0, 2): O: 49, (1, 2): O: 93, (2, 0): O: 2, (2, 2): O: 1}
XX___XO_O; O; {(0, 2): O: 168, (1, 0): O: 1, (1, 1): O: 2, (2, 1): O: 63}
_O__X_X__; O; {(0, 0): O: 6, (0, 2): O: 9, (1, 0): O: 3, (1, 2): O: 3, (2, 1): O: 1, (2, 2): O: 2}
_OO_XXX__; O; {(0, 0): O: 21, (1, 0): O: 11, (2, 1): O: 2, (2, 2): O: 3}
_OOOXXX_X; O; {(0, 0): O: 36, (2, 1): O: 1}
X_O_XX__O; O; {(1, 0): O: 21750, (2, 1): O: 3}
_X_OOXX__; O; {(0, 2): O: 7099, (2, 2): O: 73121}
XX_OX__O_; O; {(0, 2): O: 1, (1, 2): O: 1, (2, 0): O: 1, (2, 2): O: 1}
XX_OX_XOO; O; {(0, 2): O: 91}
