MENACE: X
_XXO_OX_O; X; {(0, 0): X: 6, (1, 1): X: 6, (2, 1): X: 3}
XXO_OO_X_; X; {(2, 2): X: 2}
OX_O__X__; X; {(0, 2): X: 3, (1, 1): X: 6, (1, 2): X: 3, (2, 1): X: 8, (2, 2): X: 6}
OX_OX_XO_; X; {(0, 2): X: 9, (1, 2): X: 3, (2, 2): X: 3}
X_X_OO___; X; {(0, 1): X: 12, (1, 0): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3}
OXXXO_O__; X; {(1, 2): X: 5, (2, 1): X: 1, (2, 2): X: 4}
X___OX_O_; X; {(0, 1): X: 3, (0, 2): X: 3, (1, 0): X: 6, (2, 0): X: 3, (2, 2): X: 3}
X_OXOX_O_; X; {(2, 0): X: 15, (2, 2): X: 3}
XO_O_O_XX; X; {(0, 2): X: 6, (1, 1): X: 3, (2, 0): X: 9}
XOXO_OOXX; X; {(1, 1): X: 42}
XOX___O__; X; {(1, 0): X: 17, (1, 1): X: 103, (1, 2): X: 34, (2, 1): X: 37, (2, 2): X: 531}
XOXX__O_O; X; {(1, 1): X: 5, (2, 1): X: 24}
XOXXO_OXO; X; {(1, 2): X: 64}
XOO___X__; X; {(1, 0): X: 9, (1, 1): X: 4, (1, 2): X: 16, (2, 1): X: 22, (2, 2): X: 3}
XOO_O_XX_; X; {(1, 0): X: 9, (1, 2): X: 12, (2, 2): X: 6}
XOOOOXXX_; X; {(2, 2): X: 30}
XOX_OOX__; X; {(1, 0): X: 6, (2, 1): X: 3, (2, 2): X: 1}
OX_XO_O_X; X; {(0, 2): X: 28, (2, 1): X: 1}
OX_XOOOXX; X; {(0, 2): X: 24}
X_XX_OOO_; X; {(0, 1): X: 3, (1, 1): X: 3, (2, 2): X: 6}
XOX_X_OO_; X; {(1, 0): X: 1, (1, 2): X: 5, (2, 2): X: 30}
XOOXO__X_; X; {(1, 2): X: 1, (2, 0): X: 36, (2, 2): X: 2}
XO_____XO; X; {(0, 2): X: 7, (1, 0): X: 2, (1, 1): X: 4, (1, 2): X: 4, (2, 0): X: 7}
XOX___OXO; X; {(1, 0): X: 9, (1, 1): X: 18}
XOXOX_OXO; X; {(1, 2): X: 129}
OX_XO_XO_; X; {(0, 2): X: 3, (1, 2): X: 4, (2, 2): X: 10}
_X____OXO; X; {(0, 0): X: 3, (1, 0): X: 9, (1, 1): X: 6}
X__O_OX__; X; {(0, 1): X: 1, (0, 2): X: 2, (1, 1): X: 15}
OX___O__X; X; {(0, 2): X: 2, (1, 0): X: 6, (1, 1): X: 13, (2, 0): X: 5, (2, 1): X: 3}
X_O__OX__; X; {(0, 1): X: 3, (1, 0): X: 12, (1, 1): X: 3, (2, 1): X: 2, (2, 2): X: 43}
X_OO_OX_X; X; {(0, 1): X: 1, (1, 1): X: 21, (2, 1): X: 147}
_X_OO_X__; X; {(0, 0): X: 4, (0, 2): X: 3, (1, 2): X: 9, (2, 1): X: 3, (2, 2): X: 3}
XOOX_____; X; {(1, 1): X: 3, (1, 2): X: 5, (2, 0): X: 9, (2, 1): X: 9, (2, 2): X: 3}
XX___OO__; X; {(0, 2): X: 9, (1, 0): X: 9, (1, 1): X: 9, (2, 1): X: 3, (2, 2): X: 7}
XXO_O____; X; {(1, 0): X: 39, (1, 2): X: 1, (2, 0): X: 62, (2, 1): X: 2, (2, 2): X: 1}
XXOXO__O_; X; {(1, 2): X: 2, (2, 0): X: 15, (2, 2): X: 3}
XX_OO____; X; {(0, 2): X: 27, (1, 2): X: 21, (2, 0): X: 1, (2, 1): X: 3, (2, 2): X: 9}
XX_OO__XO; X; {(0, 2): X: 3, (1, 2): X: 10, (2, 0): X: 2}
XOXO_____; X; {(1, 1): X: 10, (1, 2): X: 3, (2, 0): X: 8, (2, 1): X: 3, (2, 2): X: 3}
XOXO_OX__; X; {(1, 1): X: 6, (2, 1): X: 3, (2, 2): X: 3}
XX_O_OX_O; X; {(0, 2): X: 9, (1, 1): X: 1, (2, 1): X: 2}
XOXOO__X_; X; {(1, 2): X: 19, (2, 0): X: 3}
XOXOO_X__; X; {(1, 2): X: 2, (2, 2): X: 2}
OXO__X___; X; {(1, 0): X: 2, (1, 1): X: 3, (2, 0): X: 3, (2, 1): X: 8, (2, 2): X: 13}
OXOX_XO__; X; {(1, 1): X: 3, (2, 1): X: 2, (2, 2): X: 6}
_O__XX__O; X; {(0, 0): X: 6, (0, 2): X: 15, (1, 0): X: 12, (2, 0): X: 2, (2, 1): X: 17}
_X_X_O_O_; X; {(0, 0): X: 2, (0, 2): X: 6, (1, 1): X: 3, (2, 2): X: 3}
_XXXOO_O_; X; {(0, 0): X: 9, (2, 0): X: 3, (2, 2): X: 6}
_OO_XX___; X; {(0, 0): X: 15, (1, 0): X: 6, (2, 0): X: 3, (2, 1): X: 6, (2, 2): X: 3}
XOO_XX_O_; X; {(1, 0): X: 9, (2, 0): X: 3, (2, 2): X: 3}
XOOX_O__X; X; {(1, 1): X: 6, (2, 0): X: 6, (2, 1): X: 6}
XO_X____O; X; {(0, 2): X: 4, (1, 1): X: 6, (1, 2): X: 3, (2, 0): X: 3, (2, 1): X: 11}
XO_XXO__O; X; {(0, 2): X: 6, (2, 0): X: 9, (2, 1): X: 3}
XXOO___XO; X; {(1, 1): X: 18, (1, 2): X: 3, (2, 0): X: 2}
XO__XX_OO; X; {(0, 2): X: 4, (1, 0): X: 15, (2, 0): X: 3}
XOXOXX_OO; X; {(2, 0): X: 27}
XXO___O__; X; {(1, 1): X: 22, (1, 2): X: 4, (2, 2): X: 1}
XXO___OOX; X; {(1, 0): X: 8, (1, 1): X: 3, (1, 2): X: 2}
X___OX__O; X; {(0, 1): X: 9, (0, 2): X: 10, (1, 0): X: 1, (2, 0): X: 5, (2, 1): X: 3}
X_X_OXO_O; X; {(0, 1): X: 30, (1, 0): X: 6, (2, 1): X: 8}
OX__XOO_X; X; {(0, 2): X: 3, (1, 0): X: 5, (2, 1): X: 30}
OX___XO__; X; {(0, 2): X: 5, (1, 0): X: 4, (1, 1): X: 3}
XOXOX_O__; X; {(1, 2): X: 6, (2, 1): X: 7, (2, 2): X: 15}
OXO_X____; X; {(1, 0): X: 12, (2, 0): X: 4, (2, 1): X: 6}
OXOXXO___; X; {(2, 0): X: 2, (2, 1): X: 27, (2, 2): X: 6}
X_O_X___O; X; {(0, 1): X: 1, (1, 2): X: 221, (2, 0): X: 2, (2, 1): X: 1}
XX_OO__OX; X; {(0, 2): X: 12, (1, 2): X: 6, (2, 0): X: 2}
X_OOO__XX; X; {(0, 1): X: 2, (1, 2): X: 1, (2, 0): X: 30}
XOOOOX_XX; X; {(2, 0): X: 33}
XO____O_X; X; {(0, 2): X: 6, (1, 0): X: 5, (1, 1): X: 9, (1, 2): X: 3, (2, 1): X: 6}
XO_XO_O_X; X; {(0, 2): X: 3, (1, 2): X: 3, (2, 1): X: 2}
XOX_XO_O_; X; {(1, 0): X: 9, (2, 0): X: 3, (2, 2): X: 3}
OX_OOX__X; X; {(0, 2): X: 6, (2, 0): X: 3, (2, 1): X: 3}
OX_XOXO__; X; {(0, 2): X: 1, (2, 1): X: 2, (2, 2): X: 6}
OX__O_OXX; X; {(0, 2): X: 8}
OX____XO_; X; {(0, 2): X: 6, (1, 0): X: 6, (1, 1): X: 11, (1, 2): X: 8, (2, 2): X: 3}
OX___XXOO; X; {(0, 2): X: 3, (1, 0): X: 6, (1, 1): X: 6}
OXOX_XXOO; X; {(1, 1): X: 27}
OO__XX_XO; X; {(0, 2): X: 15, (1, 0): X: 27, (2, 0): X: 3}
_X_XOO___; X; {(0, 0): X: 3, (0, 2): X: 4, (2, 0): X: 2, (2, 1): X: 3, (2, 2): X: 3}
OXXXOO_OX; X; {(2, 0): X: 70}
OX_O__XXO; X; {(0, 2): X: 5, (1, 1): X: 18, (1, 2): X: 5}
XX__XO_OO; X; {(0, 2): X: 3, (1, 0): X: 3, (2, 0): X: 8}
OXOX_OX__; X; {(1, 1): X: 2, (2, 1): X: 5, (2, 2): X: 8}
_X_X_OOXO; X; {(0, 0): X: 3, (0, 2): X: 3, (1, 1): X: 6}
OX____X_O; X; {(0, 2): X: 6, (1, 0): X: 3, (1, 1): X: 6, (1, 2): X: 6, (2, 1): X: 9}
X_O_X_OXO; X; {(0, 1): X: 15, (1, 0): X: 4, (1, 2): X: 12}
X_OX____O; X; {(0, 1): X: 1, (1, 1): X: 1, (1, 2): X: 3, (2, 0): X: 21, (2, 1): X: 3}
XXOXO___O; X; {(1, 2): X: 3, (2, 0): X: 36}
X_OOOX__X; X; {(0, 1): X: 2, (2, 0): X: 6, (2, 1): X: 2}
XX__XOOO_; X; {(0, 2): X: 12, (1, 0): X: 3, (2, 2): X: 12}
XXOX_OO__; X; {(1, 1): X: 5, (2, 1): X: 3, (2, 2): X: 3}
XOOO_XX__; X; {(1, 1): X: 4, (2, 1): X: 9, (2, 2): X: 6}
XOOOOXX_X; X; {(2, 1): X: 39}
X_OOX____; X; {(0, 1): X: 12, (1, 2): X: 3, (2, 0): X: 2, (2, 1): X: 9, (2, 2): X: 9}
XXOOX_O__; X; {(1, 2): X: 15, (2, 1): X: 9, (2, 2): X: 6}
XO_O_X___; X; {(0, 2): X: 3, (1, 1): X: 10, (2, 0): X: 6, (2, 1): X: 4, (2, 2): X: 15}
X_X_OOX_O; X; {(0, 1): X: 87, (1, 0): X: 30, (2, 1): X: 4}
X_O_OO_XX; X; {(0, 1): X: 2, (1, 0): X: 1, (2, 0): X: 9}
_X_XO_OOX; X; {(0, 0): X: 1, (0, 2): X: 6, (1, 2): X: 3}
_X__OXO__; X; {(0, 0): X: 14, (0, 2): X: 9, (1, 0): X: 2}
X_OOX_XO_; X; {(0, 1): X: 3, (1, 2): X: 4, (2, 2): X: 21}
_OX_XO___; X; {(0, 0): X: 3, (1, 0): X: 3, (2, 0): X: 12}
XO__XO___; X; {(0, 2): X: 3, (1, 0): X: 6, (2, 0): X: 6, (2, 1): X: 12, (2, 2): X: 3}
OX_X____O; X; {(0, 2): X: 3, (1, 1): X: 30, (1, 2): X: 3}
OX_X_XO_O; X; {(0, 2): X: 3, (1, 1): X: 9, (2, 1): X: 3}
OXOX_XOXO; X; {(1, 1): X: 6}
XXOOX__O_; X; {(1, 2): X: 10, (2, 0): X: 3, (2, 2): X: 3}
OX__O__X_; X; {(0, 2): X: 3, (1, 0): X: 1, (1, 2): X: 3, (2, 0): X: 16, (2, 2): X: 4}
OX_XO_OX_; X; {(0, 2): X: 3, (1, 2): X: 2}
XXO_____O; X; {(1, 0): X: 6, (1, 1): X: 3, (1, 2): X: 3, (2, 0): X: 3, (2, 1): X: 2}
XOO_X_XO_; X; {(1, 0): X: 3, (1, 2): X: 9, (2, 2): X: 6}
XOO_X____; X; {(1, 0): X: 5, (1, 2): X: 3, (2, 0): X: 4, (2, 1): X: 6, (2, 2): X: 27}
OXXXOOXO_; X; {(2, 2): X: 8}
XOOXX___O; X; {(1, 2): X: 3, (2, 0): X: 15, (2, 1): X: 4}
XOO_XXOXO; X; {(1, 0): X: 45}
XXO_X__OO; X; {(1, 0): X: 3, (1, 2): X: 2, (2, 0): X: 5}
X_OXOO_X_; X; {(0, 1): X: 2, (2, 0): X: 18, (2, 2): X: 2}
XOXO_XOXO; X; {(1, 1): X: 16}
OXOX__XO_; X; {(1, 1): X: 9, (1, 2): X: 4, (2, 2): X: 3}
OXOXX_XOO; X; {(1, 2): X: 39}
_OXXXO__O; X; {(0, 0): X: 5, (2, 0): X: 15, (2, 1): X: 9}
OOXXXO_XO; X; {(2, 0): X: 15}
_O__XX_O_; X; {(0, 0): X: 3, (0, 2): X: 9, (1, 0): X: 3}
_OXOXX_O_; X; {(0, 0): X: 9, (2, 0): X: 3, (2, 2): X: 3}
XOO_____X; X; {(1, 0): X: 3, (1, 1): X: 3, (1, 2): X: 3, (2, 0): X: 6, (2, 1): X: 14}
XOOO___XX; X; {(1, 1): X: 9, (1, 2): X: 15, (2, 0): X: 3}
XOOX_O_X_; X; {(1, 1): X: 1, (2, 0): X: 12, (2, 2): X: 3}
X_O___O_X; X; {(0, 1): X: 2, (1, 1): X: 24}
