Overnight Menace 1: X
_X__OOXXO; X; {(0, 0): X: 3, (0, 2): X: 3, (1, 0): X: 3}
XOO_XX_O_; X; {(1, 0): X: 15, (2, 0): X: 15, (2, 2): X: 6}
XOO_XXXOO; X; {(1, 0): X: 72}
_X____OXO; X; {(0, 0): X: 3, (1, 0): X: 3, (1, 1): X: 12}
XOO_O__XX; X; {(1, 0): X: 2, (2, 0): X: 153}
XO__X___O; X; {(0, 2): X: 26, (1, 0): X: 72, (1, 2): X: 18, (2, 0): X: 14, (2, 1): X: 16}
XO_XX__OO; X; {(0, 2): X: 2, (1, 2): X: 15, (2, 0): X: 93}
X_O_X_O__; X; {(0, 1): X: 1, (1, 2): X: 21, (2, 2): X: 12}
X_OOXXO__; X; {(0, 1): X: 30, (2, 1): X: 18, (2, 2): X: 18}
X_OO_X___; X; {(0, 1): X: 1354, (1, 1): X: 4475, (2, 0): X: 3049, (2, 1): X: 2736, (2, 2): X: 3928}
XOOOXXXO_; X; {(2, 2): X: 114}
X_O_X___O; X; {(1, 2): X: 21947}
XOO__X___; X; {(1, 0): X: 15, (1, 1): X: 76, (2, 0): X: 23, (2, 1): X: 3, (2, 2): X: 4}
XOO_XXO__; X; {(1, 0): X: 6, (2, 1): X: 54, (2, 2): X: 12}
OX_O___X_; X; {(0, 2): X: 2, (1, 1): X: 21, (1, 2): X: 3, (2, 0): X: 15, (2, 2): X: 1}
OX_O_O_XX; X; {(1, 1): X: 15, (2, 0): X: 84}
X_O__XXOO; X; {(0, 1): X: 9, (1, 0): X: 102, (1, 1): X: 17}
_X_O_XO__; X; {(0, 0): X: 95, (0, 2): X: 1, (2, 1): X: 1, (2, 2): X: 14}
_X_OOXO_X; X; {(0, 0): X: 1, (0, 2): X: 30, (2, 1): X: 2}
XXO__O_OX; X; {(1, 0): X: 12, (1, 1): X: 30, (2, 0): X: 18}
XXO_OOXOX; X; {(1, 0): X: 249}
XX_OO____; X; {(0, 2): X: 654, (1, 2): X: 19, (2, 0): X: 1, (2, 2): X: 2}
XX_OO_XO_; X; {(0, 2): X: 72, (1, 2): X: 14}
OX____O_X; X; {(1, 0): X: 39912, (1, 1): X: 1}
OX_XO_O_X; X; {(0, 2): X: 44022}
OX_XOXOOX; X; {(0, 2): X: 102}
_XX___OO_; X; {(0, 0): X: 12, (1, 0): X: 2, (1, 1): X: 2, (1, 2): X: 9, (2, 2): X: 16}
X_O__X__O; X; {(0, 1): X: 8, (1, 0): X: 446, (1, 1): X: 111, (2, 0): X: 26, (2, 1): X: 7}
XXOO_X__O; X; {(1, 1): X: 3270, (2, 0): X: 620, (2, 1): X: 2838}
XXOOXX_OO; X; {(2, 0): X: 33294}
XOOOX_XXO; X; {(1, 2): X: 7720}
XOOO__X_X; X; {(1, 1): X: 9, (1, 2): X: 321, (2, 1): X: 129}
_X__OXO__; X; {(0, 0): X: 1, (0, 2): X: 97}
OX_XOXO__; X; {(0, 2): X: 3, (2, 1): X: 2, (2, 2): X: 3}
OXXXOXOO_; X; {(2, 2): X: 24}
X_O__XO__; X; {(0, 1): X: 4, (1, 0): X: 1, (1, 1): X: 152, (2, 1): X: 8, (2, 2): X: 3}
XOO__XOX_; X; {(1, 0): X: 2, (1, 1): X: 81}
XO__O___X; X; {(2, 1): X: 323688}
XO_OO__XX; X; {(0, 2): X: 2, (1, 2): X: 9, (2, 0): X: 51}
X_OX_XO_O; X; {(0, 1): X: 1, (1, 1): X: 198, (2, 1): X: 3}
XXOO_XO__; X; {(1, 1): X: 81, (2, 2): X: 1}
XXOOXXOO_; X; {(2, 2): X: 210}
X_O_O_X__; X; {(0, 1): X: 8, (1, 0): X: 141, (1, 2): X: 11, (2, 1): X: 18, (2, 2): X: 66}
X_OO___X_; X; {(0, 1): X: 6, (1, 1): X: 25, (1, 2): X: 6, (2, 0): X: 6, (2, 2): X: 2}
X_OO_O_XX; X; {(0, 1): X: 4, (1, 1): X: 129, (2, 0): X: 39}
_XOO__XXO; X; {(0, 0): X: 1, (1, 1): X: 117, (1, 2): X: 10}
_XOOOXXXO; X; {(0, 0): X: 15358}
OX__O__X_; X; {(0, 2): X: 1, (2, 0): X: 1, (2, 2): X: 2}
OXO_O_XX_; X; {(2, 2): X: 213}
XOOXXO___; X; {(2, 0): X: 45, (2, 1): X: 2, (2, 2): X: 54}
XOO_X_X_O; X; {(1, 0): X: 123, (1, 2): X: 29, (2, 1): X: 3}
O__OX___X; X; {(0, 1): X: 4, (2, 0): X: 369, (2, 1): X: 1}
X_OOX____; X; {(0, 1): X: 10, (1, 2): X: 17, (2, 0): X: 4, (2, 1): X: 11, (2, 2): X: 18}
XOOOXX___; X; {(2, 0): X: 5, (2, 1): X: 10, (2, 2): X: 60}
OX_XX_OO_; X; {(1, 2): X: 87, (2, 2): X: 9}
XOO__XO_X; X; {(1, 1): X: 135, (2, 1): X: 2}
_X__O_XO_; X; {(0, 0): X: 71, (0, 2): X: 14, (1, 0): X: 3, (1, 2): X: 2, (2, 2): X: 6}
OXXOOXXO_; X; {(2, 2): X: 255}
_X_OXOX_O; X; {(0, 0): X: 3, (0, 2): X: 9, (2, 1): X: 18}
X_O_XXOO_; X; {(0, 1): X: 1, (1, 0): X: 57, (2, 2): X: 9}
X_O___X_O; X; {(0, 1): X: 12, (1, 0): X: 300, (1, 1): X: 1, (1, 2): X: 9}
