Gabe: O
X____O___XXX___OOXX_OXO__OXX_O_OOO_OO__X__X_X_O_X; X; {(0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (0, 4): X: 3, (0, 6): X: 3, (1, 0): X: 3, (1, 1): X: 3, (1, 5): X: 3, (1, 6): X: 3, (2, 0): X: 3, (2, 5): X: 3, (3, 2): X: 3, (3, 3): X: 3, (4, 0): X: 3, (4, 2): X: 3, (4, 6): X: 3, (5, 2): X: 3, (5, 3): X: 3, (5, 5): X: 3, (5, 6): X: 3, (6, 1): X: 3, (6, 3): X: 3, (6, 5): X: 4}
X____O___XXX___OOXX_OXO__OXX_O_OOO_OOO_X__X_X_OXX; X; {(0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (0, 4): X: 3, (0, 6): X: 3, (1, 0): X: 3, (1, 1): X: 3, (1, 5): X: 3, (1, 6): X: 3, (2, 0): X: 3, (2, 5): X: 3, (3, 2): X: 3, (3, 3): X: 4, (4, 0): X: 3, (4, 2): X: 3, (4, 6): X: 3, (5, 3): X: 3, (5, 5): X: 3, (5, 6): X: 3, (6, 1): X: 3, (6, 3): X: 3}
X____O___XXXO__OOXX_OXO_XOXX_O_OOO_OOO_X__X_X_OXX; X; {(0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (0, 4): X: 3, (0, 6): X: 3, (1, 0): X: 3, (1, 1): X: 4, (1, 6): X: 3, (2, 0): X: 3, (2, 5): X: 3, (3, 2): X: 3, (4, 0): X: 3, (4, 2): X: 3, (4, 6): X: 3, (5, 3): X: 3, (5, 5): X: 3, (5, 6): X: 3, (6, 1): X: 3, (6, 3): X: 3}
X____O__XXXXO__OOXX_OXO_XOXX_O_OOO_OOO_X_OX_X_OXX; X; {(0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (0, 4): X: 3, (0, 6): X: 3, (1, 0): X: 3, (1, 6): X: 3, (2, 0): X: 3, (2, 5): X: 3, (3, 2): X: 3, (4, 0): X: 3, (4, 2): X: 3, (4, 6): X: 3, (5, 3): X: 3, (5, 5): X: 4, (6, 1): X: 3, (6, 3): X: 3}
X____O__XXXXO__OOXX_OXOOXOXX_O_OOO_OOO_XXOX_X_OXX; X; {(0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (0, 4): X: 3, (0, 6): X: 3, (1, 0): X: 3, (1, 6): X: 3, (2, 0): X: 4, (2, 5): X: 3, (4, 0): X: 3, (4, 2): X: 3, (4, 6): X: 3, (5, 3): X: 3, (6, 1): X: 3, (6, 3): X: 3}
X____OO_XXXXO_XOOXX_OXOOXOXX_O_OOO_OOO_XXOX_X_OXX; X; {(0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (0, 4): X: 4, (1, 0): X: 3, (1, 6): X: 3, (2, 5): X: 3, (4, 0): X: 3, (4, 2): X: 3, (4, 6): X: 3, (5, 3): X: 3, (6, 1): X: 3, (6, 3): X: 3}
X___XOO_XXXXOOXOOXX_OXOOXOXX_O_OOO_OOO_XXOX_X_OXX; X; {(0, 1): X: 3, (0, 2): X: 3, (0, 3): X: 3, (1, 0): X: 4, (2, 5): X: 3, (4, 0): X: 3, (4, 2): X: 3, (4, 6): X: 3, (5, 3): X: 3, (6, 1): X: 3, (6, 3): X: 3}
X___XOOXXXXXOOXOOXX_OXOOXOXX_O_OOO_OOO_XXOXOX_OXX; X; {(0, 1): X: 3, (0, 2): X: 4, (0, 3): X: 3, (2, 5): X: 3, (4, 0): X: 3, (4, 2): X: 3, (4, 6): X: 3, (5, 3): X: 3, (6, 3): X: 3}
X_X_XOOXXXXXOOXOOXX_OXOOXOXXOO_OOO_OOO_XXOXOX_OXX; X; {(0, 1): X: 3, (0, 3): X: 3, (2, 5): X: 3, (4, 2): X: 3, (4, 6): X: 3, (5, 3): X: 3, (6, 3): X: 4}
X_X_XOOXXXXXOOXOOXXOOXOOXOXXOO_OOO_OOO_XXOXOXXOXX; X; {(0, 1): X: 3, (0, 3): X: 3, (4, 2): X: 4, (4, 6): X: 3, (5, 3): X: 3}
