Menace A: X
X__XOO___; X; {(1, 2): X: 3, (1, 3): X: 14, (3, 1): X: 3, (3, 2): X: 2}
X_OXOO_X_; X; {(1, 2): X: 2, (3, 1): X: 6, (3, 3): X: 3}
XX_O____O; X; {(1, 3): X: 3, (2, 2): X: 4, (2, 3): X: 9, (3, 1): X: 3, (3, 2): X: 3}
XX_OX__OO; X; {(1, 3): X: 3, (2, 3): X: 4, (3, 1): X: 4}
XXOO_____; X; {(2, 2): X: 3, (2, 3): X: 3, (3, 1): X: 3, (3, 2): X: 7, (3, 3): X: 9}
XXOOO__X_; X; {(2, 3): X: 3, (3, 1): X: 4, (3, 3): X: 1}
XXOOO_XXO; X; {(2, 3): X: 6}
_X__O____; X; {(1, 1): X: 3, (2, 1): X: 6, (3, 1): X: 6, (3, 2): X: 6}
_X_OO__X_; X; {(1, 1): X: 3, (1, 3): X: 3, (2, 3): X: 6}
OX_OOX_X_; X; {(1, 3): X: 1, (3, 1): X: 3, (3, 3): X: 4}
X___XO__O; X; {(1, 2): X: 3, (1, 3): X: 6, (2, 1): X: 2, (3, 1): X: 9, (3, 2): X: 3}
XO__XOX_O; X; {(1, 3): X: 3, (2, 1): X: 9, (3, 2): X: 2}
_X_O__O_X; X; {(1, 1): X: 9, (1, 3): X: 3, (2, 2): X: 3, (2, 3): X: 3, (3, 2): X: 2}
XX_O__OOX; X; {(1, 3): X: 3, (2, 2): X: 9, (2, 3): X: 3}
OX_OX____; X; {(1, 3): X: 5, (2, 3): X: 3, (3, 1): X: 6, (3, 2): X: 9, (3, 3): X: 3}
OXXOX__O_; X; {(2, 3): X: 3, (3, 1): X: 6, (3, 3): X: 3}
XOX_O____; X; {(2, 1): X: 3, (3, 1): X: 5, (3, 2): X: 11}
_X_O_X__O; X; {(1, 1): X: 6, (1, 3): X: 3, (2, 2): X: 6, (3, 1): X: 3, (3, 2): X: 2}
_X_OXX_OO; X; {(1, 1): X: 2, (1, 3): X: 6, (3, 1): X: 3}
OXXOXX_OO; X; {(3, 1): X: 6}
_X__X__OO; X; {(1, 1): X: 5, (1, 3): X: 2, (2, 3): X: 5, (3, 1): X: 3}
X_XOOXO__; X; {(1, 2): X: 3, (3, 2): X: 3, (3, 3): X: 12}
OX__OXXO_; X; {(1, 3): X: 7, (2, 1): X: 2, (3, 3): X: 5}
_X_OOX___; X; {(1, 1): X: 6, (1, 3): X: 2, (3, 1): X: 3, (3, 2): X: 1, (3, 3): X: 2}
XX_OOX__O; X; {(1, 3): X: 12, (3, 1): X: 5, (3, 2): X: 9}
O___XX__O; X; {(1, 2): X: 5, (1, 3): X: 3, (2, 1): X: 6, (3, 1): X: 3, (3, 2): X: 3}
OX_OXX__O; X; {(1, 3): X: 1, (3, 1): X: 6, (3, 2): X: 3}
O___XO__X; X; {(1, 2): X: 3, (1, 3): X: 9, (2, 1): X: 8, (3, 1): X: 2, (3, 2): X: 6}
O_X_XOO_X; X; {(1, 2): X: 3, (2, 1): X: 6}
OOXXXOO_X; X; {(3, 2): X: 7}
OX__OX___; X; {(1, 3): X: 3, (2, 1): X: 3, (3, 1): X: 4, (3, 2): X: 3, (3, 3): X: 3}
OXO_OXX__; X; {(2, 1): X: 4, (3, 2): X: 3, (3, 3): X: 3}
OXOXOXXO_; X; {(3, 3): X: 8}
X___XOO__; X; {(1, 2): X: 3, (1, 3): X: 6, (2, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3}
XOX_XOO__; X; {(2, 1): X: 3, (3, 2): X: 3, (3, 3): X: 6}
OXO_X____; X; {(2, 1): X: 3, (3, 1): X: 3, (3, 2): X: 12}
XO___OX__; X; {(1, 3): X: 3, (2, 1): X: 3, (2, 2): X: 6, (3, 2): X: 3, (3, 3): X: 3}
XO__XOXO_; X; {(1, 3): X: 6, (2, 1): X: 3}
_X_OOX_XO; X; {(1, 1): X: 3, (1, 3): X: 3, (3, 1): X: 2}
_XO_X_XOO; X; {(1, 1): X: 3, (2, 1): X: 3, (2, 3): X: 4}
_XOOXXXOO; X; {(1, 1): X: 8}
_XOO____X; X; {(1, 1): X: 4, (2, 2): X: 3, (2, 3): X: 7, (3, 1): X: 3, (3, 2): X: 3}
_XOO_X_OX; X; {(1, 1): X: 3, (2, 2): X: 4, (3, 1): X: 3}
XO_OOXOXX; X; {(1, 3): X: 24}
X__O_OX__; X; {(1, 2): X: 3, (1, 3): X: 3, (2, 2): X: 6}
XO_OXOX__; X; {(1, 3): X: 9, (3, 2): X: 3, (3, 3): X: 3}
XXOO_O__X; X; {(2, 2): X: 6, (3, 1): X: 3, (3, 2): X: 3}
_X_O_OOXX; X; {(1, 1): X: 3, (1, 3): X: 2, (2, 2): X: 3}
XXOXO___O; X; {(2, 3): X: 9, (3, 1): X: 3, (3, 2): X: 2}
XOX_OOOXX; X; {(2, 1): X: 11}
XOX__O_XO; X; {(2, 1): X: 6, (2, 2): X: 3, (3, 1): X: 3}
_O_XXOX_O; X; {(1, 1): X: 6, (1, 3): X: 6, (3, 2): X: 3}
XO_O__X__; X; {(1, 3): X: 3, (2, 2): X: 3, (2, 3): X: 3, (3, 2): X: 3, (3, 3): X: 2}
XO_O__XOX; X; {(1, 3): X: 2, (2, 2): X: 3, (2, 3): X: 3}
X_X_O__O_; X; {(1, 2): X: 18, (2, 1): X: 12, (3, 1): X: 1}
XXOOO_X__; X; {(2, 3): X: 7, (3, 2): X: 3, (3, 3): X: 1}
XXOOOXX_O; X; {(3, 2): X: 14}
XOXOOX_XO; X; {(3, 1): X: 23}
_X_XOOXO_; X; {(1, 1): X: 12, (1, 3): X: 3, (3, 3): X: 3}
X_O_OX___; X; {(1, 2): X: 3, (2, 1): X: 6, (3, 1): X: 6, (3, 2): X: 3, (3, 3): X: 2}
X_O_OXX_O; X; {(1, 2): X: 6, (2, 1): X: 3}
XXO_OXXOO; X; {(2, 1): X: 21}
_OOXX__OX; X; {(1, 1): X: 6, (2, 3): X: 3, (3, 1): X: 3}
XO_XO_OX_; X; {(1, 3): X: 7, (2, 3): X: 3, (3, 3): X: 2}
OX_O____X; X; {(1, 3): X: 2, (2, 2): X: 3, (2, 3): X: 3, (3, 1): X: 7, (3, 2): X: 1}
OXXO_O__X; X; {(2, 2): X: 3, (3, 1): X: 6, (3, 2): X: 2}
XX__O___O; X; {(1, 3): X: 9, (2, 1): X: 3, (2, 3): X: 3, (3, 1): X: 8, (3, 2): X: 3}
XO__XX_OO; X; {(1, 3): X: 3, (2, 1): X: 3, (3, 1): X: 6}
XOO_XXXOO; X; {(2, 1): X: 15}
X_X_O___O; X; {(1, 2): X: 12, (2, 1): X: 3, (2, 3): X: 6, (3, 1): X: 3, (3, 2): X: 3}
OXOO_X__X; X; {(2, 2): X: 3, (3, 1): X: 6, (3, 2): X: 3}
XXOO__OX_; X; {(2, 2): X: 3, (2, 3): X: 3, (3, 3): X: 5}
XXOO_OOXX; X; {(2, 2): X: 6}
XO__OX_XO; X; {(1, 3): X: 9, (2, 1): X: 7, (3, 1): X: 7}
XX__O_O__; X; {(1, 3): X: 6, (2, 1): X: 3, (2, 3): X: 3, (3, 2): X: 6, (3, 3): X: 3}
XX_OO_OX_; X; {(1, 3): X: 9, (2, 3): X: 3, (3, 3): X: 3}
XOOOX_X__; X; {(2, 3): X: 6, (3, 2): X: 3, (3, 3): X: 6}
X_O_OXXO_; X; {(1, 2): X: 3, (2, 1): X: 6, (3, 3): X: 3}
X_XOO____; X; {(1, 2): X: 6, (2, 3): X: 3, (3, 1): X: 3, (3, 2): X: 6, (3, 3): X: 6}
OXXOO___X; X; {(2, 3): X: 6, (3, 1): X: 3, (3, 2): X: 2}
XOOOX_XXO; X; {(2, 3): X: 7}
XXOO___OX; X; {(2, 2): X: 3, (2, 3): X: 6, (3, 1): X: 3}
XXOO_XOOX; X; {(2, 2): X: 9}
OX_OX_XO_; X; {(1, 3): X: 6, (2, 3): X: 3, (3, 3): X: 3}
OXXO_____; X; {(2, 2): X: 3, (2, 3): X: 2, (3, 1): X: 4, (3, 2): X: 3, (3, 3): X: 6}
OXXOO_X__; X; {(2, 3): X: 2, (3, 2): X: 2, (3, 3): X: 1}
XO_OX__XO; X; {(1, 3): X: 3, (2, 3): X: 3, (3, 1): X: 7}
X_O_O___X; X; {(1, 2): X: 3, (2, 1): X: 3, (3, 1): X: 7}
XOO_O_X_X; X; {(2, 1): X: 6, (2, 3): X: 3, (3, 2): X: 3}
XX____OO_; X; {(1, 3): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (3, 3): X: 2}
_XXXO_OO_; X; {(1, 1): X: 3, (2, 3): X: 2, (3, 3): X: 3}
XOX_O_OX_; X; {(2, 1): X: 6, (2, 3): X: 4, (3, 3): X: 11}
OXX___O__; X; {(2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 2, (3, 2): X: 3, (3, 3): X: 3}
OXX__XOO_; X; {(2, 1): X: 3, (2, 2): X: 2, (3, 3): X: 3}
_X_XO___O; X; {(1, 1): X: 3, (1, 3): X: 6, (2, 3): X: 3}
_X____XOO; X; {(1, 1): X: 6, (1, 3): X: 6, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3}
OXX___XOO; X; {(2, 1): X: 6, (2, 2): X: 3, (2, 3): X: 3}
XX_OX_O_O; X; {(1, 3): X: 3, (2, 3): X: 1, (3, 2): X: 6}
O_OOXX__X; X; {(1, 2): X: 4, (3, 1): X: 2, (3, 2): X: 2}
_XOO_X___; X; {(1, 1): X: 4, (2, 2): X: 4, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3}
X__XOXO_O; X; {(1, 2): X: 3, (1, 3): X: 2, (3, 2): X: 3}
