Menace B: O
____X____; O; {(1, 1): O: 51}
_O_OXXX__; O; {(1, 1): O: 4, (1, 3): O: 6, (3, 2): O: 2, (3, 3): O: 2}
XO____OXX; O; {(1, 3): O: 3, (2, 1): O: 2, (2, 2): O: 7, (2, 3): O: 4}
_X_X__OXO; O; {(1, 1): O: 3, (1, 3): O: 3, (2, 2): O: 3, (2, 3): O: 2}
_X__OXXO_; O; {(1, 1): O: 14, (1, 3): O: 7, (2, 1): O: 1, (3, 3): O: 7}
X_XX_OO__; O; {(1, 2): O: 2, (2, 2): O: 3, (3, 2): O: 2, (3, 3): O: 3}
X__OXO_X_; O; {(1, 2): O: 1, (1, 3): O: 2, (3, 3): O: 2}
OX_OX___X; O; {(1, 3): O: 2, (2, 3): O: 3, (3, 1): O: 3, (3, 2): O: 9}
OX_XOXOX_; O; {(1, 3): O: 6}
OXOO_X_XX; O; {(2, 2): O: 3, (3, 1): O: 6}
_XXOXXOO_; O; {(1, 1): O: 6}
XX__OXOXO; O; {(1, 3): O: 6, (2, 1): O: 2}
O_OXX_OXX; O; {(1, 2): O: 3, (2, 3): O: 2}
XXOOXXO__; O; {(3, 2): O: 3, (3, 3): O: 2}
OXOXX_O_X; O; {(2, 3): O: 2}
OOXOX__XX; O; {(2, 3): O: 2, (3, 1): O: 3}
OXOX_XXO_; O; {(2, 2): O: 4, (3, 3): O: 2}
OX_O_XXXO; O; {(1, 3): O: 1, (2, 2): O: 6}
OXOOXX__X; O; {(3, 1): O: 6, (3, 2): O: 5}
OOXXXO__X; O; {(3, 1): O: 7, (3, 2): O: 1}
_XOOXXXO_; O; {(1, 1): O: 8}
OOX_X_OXX; O; {(2, 1): O: 6, (2, 3): O: 3}
XOX__XOXO; O; {(2, 1): O: 5, (2, 2): O: 5}
XOXO_O_XX; O; {(2, 2): O: 3, (3, 1): O: 1}
XOXXX_OO_; O; {(2, 3): O: 3, (3, 3): O: 12}
OXXX__OXO; O; {(2, 2): O: 3, (2, 3): O: 2}
XXOXO__XO; O; {(2, 3): O: 9, (3, 1): O: 9}
XOXOO__XX; O; {(2, 3): O: 15, (3, 1): O: 3}
XO_XX_OXO; O; {(1, 3): O: 2, (2, 3): O: 7}
XO_OOX_XX; O; {(1, 3): O: 3}
_XXOXO_OX; O; {(1, 1): O: 2, (3, 1): O: 1}
OXOOX_X_X; O; {(3, 2): O: 7}
XO__XXOXO; O; {(1, 3): O: 2, (2, 1): O: 13}
XXOOO__XX; O; {(2, 3): O: 6, (3, 1): O: 9}
_X_OXOXOX; O; {(1, 1): O: 1}
XOOXOX__X; O; {(3, 1): O: 3, (3, 2): O: 12}
XOO__XXOX; O; {(2, 2): O: 9}
XXOO__XXO; O; {(2, 2): O: 4, (2, 3): O: 3}
XXOOX_X_O; O; {(2, 3): O: 6, (3, 2): O: 5}
OOXXX__XO; O; {(3, 1): O: 1}
X_XOOXX_O; O; {(1, 2): O: 16}
_XX_OOXOX; O; {(1, 1): O: 7, (2, 1): O: 30}
XOX_OOX_X; O; {(2, 1): O: 18}
X_XXOXO_O; O; {(1, 2): O: 3, (3, 2): O: 12}
XX_OXXO_O; O; {(1, 3): O: 2, (3, 2): O: 9}
OXXX__XOO; O; {(2, 2): O: 6, (2, 3): O: 2}
XO__OXXXO; O; {(1, 3): O: 2, (2, 1): O: 4}
OXX_XXOO_; O; {(2, 1): O: 3, (3, 3): O: 12}
XX__OXOOX; O; {(1, 3): O: 9, (2, 1): O: 3}
XXOO_X_OX; O; {(2, 2): O: 4, (3, 1): O: 2}
XOOOX_XX_; O; {(2, 3): O: 3, (3, 3): O: 7}
X_XOOXOX_; O; {(1, 2): O: 3, (3, 3): O: 2}
XXOO__OXX; O; {(2, 2): O: 9, (2, 3): O: 2}
OXOO_XX_X; O; {(2, 2): O: 2, (3, 2): O: 6}
XO__XXXOO; O; {(1, 3): O: 1, (2, 1): O: 3}
XX__OOXXO; O; {(1, 3): O: 18, (2, 1): O: 3}
XXO_OXX_O; O; {(2, 1): O: 7, (3, 2): O: 1}
XOX_OX_XO; O; {(2, 1): O: 29, (3, 1): O: 8}
XXOOO_X_X; O; {(2, 3): O: 18, (3, 2): O: 4}
XOXO__XOX; O; {(2, 2): O: 6, (2, 3): O: 3}
XOXX_O_XO; O; {(2, 2): O: 2, (3, 1): O: 6}
XXOXOX__O; O; {(3, 1): O: 9, (3, 2): O: 1}
_XXO_OOXX; O; {(1, 1): O: 15, (2, 2): O: 9}
XO__OXOXX; O; {(1, 3): O: 18}
_XOOXX_OX; O; {(1, 1): O: 4, (3, 1): O: 1}
_XO_XXXOO; O; {(1, 1): O: 2, (2, 1): O: 8}
O_XXXOO_X; O; {(1, 2): O: 6}
OXXOXX__O; O; {(3, 1): O: 18, (3, 2): O: 3}
XX_OOX_XO; O; {(1, 3): O: 9, (3, 1): O: 1}
OX_XOXXO_; O; {(1, 3): O: 3, (3, 3): O: 12}
_XXOXX_OO; O; {(1, 1): O: 1, (3, 1): O: 9}
XXOOO_XX_; O; {(2, 3): O: 12, (3, 3): O: 7}
XXOXOO_X_; O; {(3, 1): O: 12, (3, 3): O: 18}
XOX_OXOX_; O; {(2, 1): O: 1, (3, 3): O: 13}
XXOXOX_O_; O; {(3, 1): O: 12, (3, 3): O: 2}
XXO_OX_OX; O; {(2, 1): O: 3, (3, 1): O: 24}
XOO_OXX_X; O; {(2, 1): O: 3, (3, 2): O: 18}
_XXOXOO_X; O; {(1, 1): O: 6, (3, 2): O: 2}
