5x5 Menace 2: O
OOXX___OO_O_O_XXXX_OX_X__; O; {(1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 5): O: 3, (3, 2): O: 3, (3, 4): O: 3, (4, 4): O: 3, (5, 2): O: 3, (5, 4): O: 4, (5, 5): O: 3}
OOXX___OOXO_O_XXXX_OX_XO_; O; {(1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (3, 2): O: 4, (3, 4): O: 3, (4, 4): O: 3, (5, 2): O: 3, (5, 5): O: 3}
OOXX___OOXOOO_XXXXXOX_XO_; O; {(1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (3, 4): O: 4, (5, 2): O: 3, (5, 5): O: 3}
OOXX___OOXOOOOXXXXXOX_XOX; O; {(1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 4, (5, 2): O: 3}
OOXX_XOOOXOOOOXXXXXOX_XOX; O; {(1, 5): O: 3, (5, 2): O: 4}
______X__O_____________X_; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 1): O: 3, (2, 3): O: 3, (2, 4): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 2, (5, 5): O: 3}
______X__O________X___OX_; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 1): O: 3, (2, 3): O: 3, (2, 4): O: 3, (3, 1): O: 2, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 5): O: 3}
______XX_OO_______X___OX_; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 1): O: 2, (2, 4): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 5): O: 3}
_____OXX_OO__X____X___OX_; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 2, (1, 4): O: 3, (1, 5): O: 3, (2, 4): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 5): O: 3}
__O__OXX_OO_XX____X___OX_; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 4): O: 3, (3, 2): O: 2, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 5): O: 3}
__O__OXXXOOOXX____X___OX_; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 4): O: 3, (1, 5): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 5): O: 2}
__O_XOXXXOOOXX____X___OXO; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 4): O: 3, (3, 5): O: 2, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3}
__O_XOXXXOOOXXO___XX__OXO; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 4): O: 3, (4, 1): O: 2, (4, 2): O: 3, (4, 3): O: 3, (5, 1): O: 3, (5, 2): O: 3}
_XO_XOXXXOOOXXOO__XX__OXO; O; {(1, 1): O: 3, (1, 4): O: 3, (4, 2): O: 3, (4, 3): O: 2, (5, 1): O: 3, (5, 2): O: 3}
_______X_________________; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 4, (2, 1): O: 3, (2, 2): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (4, 1): O: 3, (4, 2): O: 4, (4, 3): O: 4, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 6}
_O_____X__X______________; O; {(1, 1): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 2): O: 2, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3}
