First GUI MENACE: X
OX__OXOX_; X; {(0, 2): X: 1, (1, 0): X: 3}
O_X_XXO_O; X; {(0, 1): X: 1, (1, 0): X: 9, (2, 1): X: 1}
XX__O__O_; X; {(0, 2): X: 3, (1, 0): X: 3, (1, 2): X: 9, (2, 0): X: 3, (2, 2): X: 9}
XX__OX_OO; X; {(0, 2): X: 6, (1, 0): X: 3, (2, 0): X: 6}
OX__O_XOX; X; {(0, 2): X: 5, (1, 0): X: 10, (1, 2): X: 8}
OX_OX_XO_; X; {(0, 2): X: 6, (1, 2): X: 4, (2, 2): X: 3}
XX_O__XOO; X; {(0, 2): X: 3, (1, 1): X: 6, (1, 2): X: 3}
_X___OXO_; X; {(0, 0): X: 9, (0, 2): X: 7, (1, 0): X: 4, (1, 1): X: 3, (2, 2): X: 4}
_XO_XX_OO; X; {(0, 0): X: 3, (1, 0): X: 6, (2, 0): X: 4}
_XXO_OXO_; X; {(0, 0): X: 3, (1, 1): X: 3, (2, 2): X: 9}
OX_OXOX__; X; {(0, 2): X: 6, (2, 1): X: 6, (2, 2): X: 6}
OX_O___X_; X; {(0, 2): X: 2, (1, 1): X: 3, (1, 2): X: 3, (2, 0): X: 9, (2, 2): X: 3}
_X_OXOX_O; X; {(0, 0): X: 3, (0, 2): X: 3, (2, 1): X: 9}
OXO_O__XX; X; {(1, 0): X: 5, (1, 2): X: 2, (2, 0): X: 3}
XXOOOX___; X; {(2, 0): X: 5, (2, 1): X: 3, (2, 2): X: 4}
XXO_O____; X; {(1, 0): X: 30, (1, 2): X: 1, (2, 0): X: 134, (2, 2): X: 6}
XXOOX_O__; X; {(1, 2): X: 3, (2, 1): X: 9, (2, 2): X: 6}
OO__XX_XO; X; {(0, 2): X: 6, (1, 0): X: 3, (2, 0): X: 3}
OOXOXX_XO; X; {(2, 0): X: 9}
X____O___; X; {(0, 1): X: 6, (0, 2): X: 4, (1, 0): X: 6, (1, 1): X: 6, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3}
XX_XOO__O; X; {(0, 2): X: 15, (2, 0): X: 27, (2, 1): X: 1}
X_X_O___O; X; {(0, 1): X: 6, (1, 0): X: 3, (1, 2): X: 3, (2, 0): X: 3, (2, 1): X: 6}
X_X_O_OXO; X; {(0, 1): X: 6, (1, 0): X: 6}
_XO__OXOX; X; {(0, 0): X: 6, (1, 0): X: 3, (1, 1): X: 4}
OXO_XX__O; X; {(1, 0): X: 6, (2, 0): X: 3}
_XOX_OXO_; X; {(0, 0): X: 6, (1, 1): X: 3, (2, 2): X: 3}
_X_XO___O; X; {(0, 0): X: 40, (0, 2): X: 4}
OXXOX__O_; X; {(1, 2): X: 3, (2, 0): X: 3, (2, 2): X: 2}
_XX_O_XOO; X; {(0, 0): X: 6, (1, 0): X: 3, (1, 2): X: 5}
_XXO____O; X; {(0, 0): X: 6, (1, 1): X: 6, (1, 2): X: 3, (2, 0): X: 3, (2, 1): X: 3}
_XOO_OXX_; X; {(0, 0): X: 3, (1, 1): X: 3, (2, 2): X: 6}
XXOXO___O; X; {(1, 2): X: 1, (2, 0): X: 51}
XX_OOX__O; X; {(0, 2): X: 6, (2, 0): X: 3, (2, 1): X: 4}
O_X_X___O; X; {(0, 1): X: 9, (1, 0): X: 6, (2, 0): X: 3}
XXOOOX_OX; X; {(2, 0): X: 11}
_XXXO_O_O; X; {(0, 0): X: 12, (1, 2): X: 2, (2, 1): X: 2}
