Menace 3: X
_X_XOOXO_; X; {(1, 1): X: 3, (1, 3): X: 4, (3, 3): X: 6}
_XOXOOXOX; X; {(1, 1): X: 12}
O_X_XXO_O; X; {(1, 2): X: 3, (2, 1): X: 6, (3, 2): X: 3}
XO_______; X; {(1, 3): X: 2, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (3, 1): X: 7, (3, 2): X: 6, (3, 3): X: 2}
XO_O___X_; X; {(1, 3): X: 3, (2, 2): X: 3, (2, 3): X: 3, (3, 1): X: 3, (3, 3): X: 6}
XOOO___XX; X; {(2, 2): X: 6, (2, 3): X: 3, (3, 1): X: 3}
_XO_OX___; X; {(1, 1): X: 3, (2, 1): X: 2, (3, 1): X: 3}
_XOXOX_O_; X; {(1, 1): X: 5, (3, 1): X: 4, (3, 3): X: 3}
O_X_X_OOX; X; {(1, 2): X: 3, (2, 1): X: 6, (2, 3): X: 3}
OX__XXOO_; X; {(1, 3): X: 3, (2, 1): X: 15, (3, 3): X: 3}
_XXO_O___; X; {(1, 1): X: 3, (2, 2): X: 3, (3, 1): X: 2, (3, 2): X: 3, (3, 3): X: 3}
_XOXO__OX; X; {(1, 1): X: 3, (2, 3): X: 3, (3, 1): X: 6}
OX__XO___; X; {(1, 3): X: 6, (2, 1): X: 3, (3, 1): X: 3, (3, 2): X: 6, (3, 3): X: 12}
OXO_XO__X; X; {(2, 1): X: 7, (3, 1): X: 3, (3, 2): X: 6}
_XOO__X__; X; {(1, 1): X: 3, (2, 2): X: 5, (2, 3): X: 3, (3, 2): X: 3, (3, 3): X: 3}
_XOOX_XO_; X; {(1, 1): X: 3, (2, 3): X: 7, (3, 3): X: 3}
OXOXX_O__; X; {(2, 3): X: 9, (3, 3): X: 3}
_X_O_OX__; X; {(1, 1): X: 6, (1, 3): X: 3, (2, 2): X: 9, (3, 2): X: 3, (3, 3): X: 3}
XO___XXOO; X; {(1, 3): X: 6, (2, 1): X: 3, (2, 2): X: 3}
X__O__XO_; X; {(1, 2): X: 3, (1, 3): X: 3, (2, 2): X: 5, (2, 3): X: 6, (3, 3): X: 3}
_X____O__; X; {(1, 1): X: 9, (1, 3): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (3, 2): X: 3, (3, 3): X: 3}
XXO__OO_X; X; {(2, 1): X: 3, (2, 2): X: 9, (3, 2): X: 3}
X___O____; X; {(1, 2): X: 3, (1, 3): X: 6, (2, 3): X: 6, (3, 3): X: 2}
X_XOO____; X; {(1, 2): X: 6, (2, 3): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 2}
X_O______; X; {(1, 2): X: 3, (2, 1): X: 6, (2, 2): X: 3, (2, 3): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3}
XOOX_____; X; {(2, 2): X: 3, (2, 3): X: 6, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3}
XOOX_XO__; X; {(2, 2): X: 3, (3, 2): X: 3, (3, 3): X: 6}
XOOX_XOOX; X; {(2, 2): X: 6}
OX__O__X_; X; {(1, 3): X: 2, (2, 1): X: 3, (2, 3): X: 3, (3, 1): X: 3, (3, 3): X: 6}
_XOX____O; X; {(1, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (3, 1): X: 3, (3, 2): X: 2}
_XO_XO_OX; X; {(1, 1): X: 12, (2, 1): X: 5, (3, 1): X: 4}
_XO___XO_; X; {(1, 1): X: 9, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (3, 3): X: 4}
XXO_O_XO_; X; {(2, 1): X: 9, (2, 3): X: 3, (3, 3): X: 3}
XOX_O____; X; {(2, 1): X: 3, (3, 1): X: 1, (3, 2): X: 3}
XXOO_OX__; X; {(2, 2): X: 3, (3, 2): X: 3, (3, 3): X: 5}
XX__O_O__; X; {(1, 3): X: 3, (2, 1): X: 3, (2, 3): X: 3, (3, 2): X: 3, (3, 3): X: 2}
_XXOO__XO; X; {(1, 1): X: 9, (2, 3): X: 3, (3, 1): X: 3}
O___XO__X; X; {(1, 2): X: 3, (1, 3): X: 4, (2, 1): X: 3, (3, 1): X: 3, (3, 2): X: 2}
OO__XO_XX; X; {(1, 3): X: 4, (2, 1): X: 2, (3, 1): X: 3}
_XX__OXOO; X; {(1, 1): X: 6, (2, 1): X: 3, (2, 2): X: 3}
XO__O___X; X; {(1, 3): X: 3, (2, 1): X: 2, (2, 3): X: 3, (3, 1): X: 3, (3, 2): X: 2}
XXO_O__OX; X; {(2, 1): X: 3, (2, 3): X: 2, (3, 1): X: 3}
O_XXXOOXO; X; {(1, 2): X: 9}
XX_XO_OO_; X; {(1, 3): X: 6, (2, 3): X: 3, (3, 3): X: 3}
OXXXOOXO_; X; {(3, 3): X: 4}
_XOX_OXO_; X; {(1, 1): X: 3, (2, 2): X: 2, (3, 3): X: 3}
OX__O_OXX; X; {(1, 3): X: 3, (2, 1): X: 4, (2, 3): X: 3}
XXOO___OX; X; {(2, 2): X: 6, (2, 3): X: 3, (3, 1): X: 3}
_X_XOO_OX; X; {(1, 1): X: 6, (1, 3): X: 3}
XXO__O___; X; {(2, 1): X: 3, (2, 2): X: 3, (3, 1): X: 3, (3, 2): X: 1, (3, 3): X: 3}
_XOX_OO_X; X; {(1, 1): X: 2, (2, 2): X: 3, (3, 2): X: 3}
X_X_O__O_; X; {(1, 2): X: 3, (2, 1): X: 2, (3, 1): X: 3}
X_XXO_OO_; X; {(1, 2): X: 3, (2, 3): X: 2, (3, 3): X: 6}
_XX_OO_OX; X; {(1, 1): X: 3, (2, 1): X: 3, (3, 1): X: 2}
_XX_OO_XO; X; {(1, 1): X: 3, (2, 1): X: 3, (3, 1): X: 2}
_X__OOXOX; X; {(1, 1): X: 3, (1, 3): X: 3, (2, 1): X: 4}
OX_XOOXOX; X; {(1, 3): X: 4}
_XOXOOX__; X; {(1, 1): X: 3, (3, 2): X: 6, (3, 3): X: 3}
OXOXOO_XX; X; {(3, 1): X: 6}
_XXXOO__O; X; {(1, 1): X: 3, (3, 1): X: 2, (3, 2): X: 3}
OXX_XO_O_; X; {(2, 1): X: 3, (3, 1): X: 6, (3, 3): X: 6}
OXX__OO_X; X; {(2, 1): X: 4, (2, 2): X: 3, (3, 2): X: 3}
OXXX_OOOX; X; {(2, 2): X: 6}
_X_O_OXOX; X; {(1, 1): X: 2, (2, 2): X: 3}
XO_____OX; X; {(1, 3): X: 2, (2, 1): X: 3, (2, 2): X: 3}
XOXO___OX; X; {(2, 2): X: 3, (2, 3): X: 3, (3, 1): X: 1}
OX___OXOX; X; {(1, 3): X: 3, (2, 1): X: 4, (2, 2): X: 4}
_X_OXOXO_; X; {(1, 1): X: 3, (1, 3): X: 3, (3, 3): X: 6}
OX__XOO_X; X; {(1, 3): X: 3, (2, 1): X: 3, (3, 2): X: 6}
_XO__O__X; X; {(1, 1): X: 6, (2, 1): X: 3, (2, 2): X: 3, (3, 1): X: 3, (3, 2): X: 3}
OXO__XX_O; X; {(2, 1): X: 2, (2, 2): X: 3}
XXO__XO_O; X; {(2, 1): X: 2, (2, 2): X: 3, (3, 2): X: 3}
O_X_XO___; X; {(1, 2): X: 3, (2, 1): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 4}
X____O_OX; X; {(1, 2): X: 3, (1, 3): X: 2, (2, 2): X: 3}
OXXOXO_OX; X; {(3, 1): X: 6}
OX_XXOO__; X; {(1, 3): X: 4, (3, 2): X: 3, (3, 3): X: 3}
_XO_O_X__; X; {(1, 1): X: 3, (2, 1): X: 3, (2, 3): X: 3, (3, 2): X: 3, (3, 3): X: 6}
_XOOO_X_X; X; {(1, 1): X: 3, (2, 3): X: 3, (3, 2): X: 6}
_XO__XO__; X; {(1, 1): X: 3, (2, 1): X: 2, (2, 2): X: 3}
OXO___X__; X; {(2, 1): X: 3, (2, 2): X: 4, (2, 3): X: 3, (3, 2): X: 3, (3, 3): X: 3}
