Second GUI MENACE: O
O_XOXX___; O; {(0, 1): O: 2, (2, 0): O: 24, (2, 1): O: 2}
O_X_XO_X_; O; {(0, 1): O: 4, (1, 0): O: 2, (2, 0): O: 3, (2, 2): O: 1}
OX__OX_X_; O; {(0, 2): O: 2, (1, 0): O: 5, (2, 0): O: 27, (2, 2): O: 9}
_X__OOXX_; O; {(0, 0): O: 3, (0, 2): O: 3, (1, 0): O: 12, (2, 2): O: 6}
XXO_OX_XO; O; {(1, 0): O: 4, (2, 0): O: 15}
_X_OO_XX_; O; {(0, 0): O: 3, (0, 2): O: 1, (1, 2): O: 3, (2, 2): O: 29}
_XO_O_X_X; O; {(0, 0): O: 1, (1, 0): O: 3, (1, 2): O: 2, (2, 1): O: 15}
XOXXOX__O; O; {(2, 0): O: 19, (2, 1): O: 54}
_XO_X_XO_; O; {(0, 0): O: 4, (1, 0): O: 3, (1, 2): O: 3, (2, 2): O: 3}
OXO_X_XOX; O; {(1, 0): O: 10}
XX_OX__O_; O; {(0, 2): O: 3, (1, 2): O: 3, (2, 0): O: 3, (2, 2): O: 5}
XX_OX_XOO; O; {(0, 2): O: 9, (1, 2): O: 2}
_X_OXXXOO; O; {(0, 0): O: 2, (0, 2): O: 10}
OX_O_XX__; O; {(0, 2): O: 3, (1, 1): O: 6, (2, 1): O: 3, (2, 2): O: 3}
OX_XOXOX_; O; {(0, 2): O: 15}
O_X_XX__O; O; {(0, 1): O: 2, (1, 0): O: 3, (2, 0): O: 4, (2, 1): O: 2}
OXX_XXO_O; O; {(1, 0): O: 9}
O_X_XXO__; O; {(1, 0): O: 18, (2, 1): O: 1, (2, 2): O: 4}
XX_O_XO__; O; {(0, 2): O: 3, (1, 1): O: 2, (2, 1): O: 2, (2, 2): O: 2}
_X__O_XOX; O; {(0, 0): O: 5, (1, 0): O: 5}
OX_XO_XOX; O; {(0, 2): O: 84, (1, 2): O: 42}
OX_OX_X__; O; {(0, 2): O: 3, (1, 2): O: 1, (2, 1): O: 4, (2, 2): O: 3}
XX___OXO_; O; {(0, 2): O: 3, (1, 0): O: 1, (1, 1): O: 3, (2, 2): O: 3}
_XO_XX_O_; O; {(0, 0): O: 3, (1, 0): O: 3, (2, 0): O: 3, (2, 2): O: 2}
_XXO__XO_; O; {(0, 0): O: 3, (1, 1): O: 3, (1, 2): O: 2, (2, 2): O: 2}
OXXO___X_; O; {(1, 1): O: 3, (1, 2): O: 3, (2, 0): O: 6, (2, 2): O: 3}
_X__XX_OO; O; {(0, 0): O: 3, (0, 2): O: 4, (1, 0): O: 6, (2, 0): O: 12}
OXOXO__XX; O; {(2, 0): O: 24}
XXO_OO_XX; O; {(1, 0): O: 9, (2, 0): O: 6}
O___XX_XO; O; {(0, 1): O: 2}
OOX_XX_XO; O; {(1, 0): O: 2, (2, 0): O: 1}
X_XXO_OXO; O; {(0, 1): O: 7}
O_XXX_O__; O; {(0, 1): O: 1, (1, 2): O: 21}
_X___OXOX; O; {(0, 0): O: 3, (0, 2): O: 4, (1, 0): O: 3, (1, 1): O: 3}
_XO_XOXOX; O; {(0, 0): O: 4, (1, 0): O: 3}
OXXXX_OO_; O; {(1, 2): O: 10, (2, 2): O: 9}
OX_OX___X; O; {(0, 2): O: 5, (1, 2): O: 2, (2, 0): O: 3, (2, 1): O: 3}
_XXO__O_X; O; {(0, 0): O: 3, (1, 1): O: 2, (1, 2): O: 3, (2, 1): O: 3}
_XOX__XO_; O; {(0, 0): O: 3, (1, 1): O: 3, (1, 2): O: 2, (2, 2): O: 3}
XX_XOXO_O; O; {(0, 2): O: 12, (2, 1): O: 24}
OXXOX__OX; O; {(1, 2): O: 3, (2, 0): O: 6}
_XX_O_XO_; O; {(0, 0): O: 4, (1, 0): O: 3, (1, 2): O: 2, (2, 2): O: 4}
O_OOXXX_X; O; {(0, 1): O: 24, (2, 1): O: 8}
XXOXOX__O; O; {(2, 0): O: 12, (2, 1): O: 3}
_X_OX_XO_; O; {(0, 0): O: 2, (0, 2): O: 4, (1, 2): O: 1, (2, 2): O: 5}
OXX_O_X__; O; {(1, 0): O: 9, (1, 2): O: 17, (2, 1): O: 16, (2, 2): O: 9}
XXO_OX_OX; O; {(1, 0): O: 9, (2, 0): O: 6}
OX_XO__X_; O; {(0, 2): O: 3, (1, 2): O: 3, (2, 0): O: 6, (2, 2): O: 9}
X_O_____X; O; {(1, 0): O: 2, (2, 0): O: 1}
X_OO_X__X; O; {(0, 1): O: 3, (1, 1): O: 6, (2, 0): O: 3, (2, 1): O: 4}
X_OOOX_XX; O; {(0, 1): O: 2, (2, 0): O: 21}
_XOXO_X__; O; {(0, 0): O: 3, (1, 2): O: 3, (2, 1): O: 3, (2, 2): O: 2}
XX_OO_X__; O; {(0, 2): O: 8, (1, 2): O: 18, (2, 1): O: 3, (2, 2): O: 2}
XX__O_XO_; O; {(0, 2): O: 2, (1, 0): O: 2, (1, 2): O: 1, (2, 2): O: 1}
_XX__OXO_; O; {(0, 0): O: 4, (1, 0): O: 3, (1, 1): O: 3, (2, 2): O: 2}
OXX__OXOX; O; {(1, 0): O: 3, (1, 1): O: 5}
XXO___XO_; O; {(1, 0): O: 4, (1, 1): O: 3, (1, 2): O: 3, (2, 2): O: 5}
XXO_OOXX_; O; {(1, 0): O: 3, (2, 2): O: 15}
XXO__X_O_; O; {(1, 0): O: 3, (1, 1): O: 6, (2, 0): O: 6, (2, 2): O: 3}
XXO_O_X__; O; {(1, 0): O: 169, (1, 2): O: 3}
OX_XOOX_X; O; {(2, 1): O: 6}
OXX_O_OXX; O; {(1, 0): O: 6, (1, 2): O: 5}
XOX______; O; {(1, 0): O: 3, (1, 1): O: 2, (2, 0): O: 3, (2, 1): O: 3}
XOX_O_X__; O; {(1, 0): O: 3, (1, 2): O: 2, (2, 1): O: 3, (2, 2): O: 3}
O_O_XXXOX; O; {(0, 1): O: 9, (1, 0): O: 4}
_XXO_OX__; O; {(0, 0): O: 3, (1, 1): O: 3, (2, 1): O: 2, (2, 2): O: 3}
XX__O_O_X; O; {(0, 2): O: 3, (1, 0): O: 6, (1, 2): O: 3, (2, 1): O: 3}
OOXXX_OX_; O; {(1, 2): O: 41}
XX_XO___O; O; {(0, 2): O: 2, (1, 2): O: 2}
X_X__O___; O; {(0, 1): O: 3, (1, 0): O: 3, (1, 1): O: 4, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3}
OX_O__XX_; O; {(0, 2): O: 3, (1, 1): O: 3, (1, 2): O: 3, (2, 2): O: 1}
X_O__XOX_; O; {(0, 1): O: 3, (1, 1): O: 3, (2, 2): O: 2}
XXO__XOXO; O; {(1, 0): O: 1, (1, 1): O: 3}
X_XO__X_O; O; {(0, 1): O: 1, (1, 1): O: 4, (1, 2): O: 3, (2, 1): O: 2}
X_XOOXX_O; O; {(0, 1): O: 7, (2, 1): O: 2}
OX___XXO_; O; {(0, 2): O: 5, (1, 0): O: 3, (1, 1): O: 4, (2, 2): O: 3}
OX__OXXOX; O; {(0, 2): O: 16, (1, 0): O: 2}
X_OX_X__O; O; {(0, 1): O: 3, (1, 1): O: 3, (2, 0): O: 4, (2, 1): O: 3}
OX_X_OXOX; O; {(0, 2): O: 3, (1, 1): O: 5}
