5x5 Menace 3: X
OOXXXXO_OXXX_OX_X__O_O_OO; X; {(2, 3): X: 3, (3, 3): X: 3, (4, 1): X: 3, (4, 3): X: 3, (4, 4): X: 3, (5, 1): X: 3, (5, 3): X: 4}
OOXXXXO_OXXX_OX_XO_O_OXOO; X; {(2, 3): X: 3, (3, 3): X: 3, (4, 1): X: 3, (4, 4): X: 3, (5, 1): X: 4}
OOXXXXOOOXXX_OX_XO_OXOXOO; X; {(3, 3): X: 4, (4, 1): X: 3, (4, 4): X: 3}
OOXXXXOOOXXXXOXOXO_OXOXOO; X; {(4, 4): X: 4}
__X__________________O___; X; {(1, 1): X: 3, (1, 2): X: 3, (1, 4): X: 3, (1, 5): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 1): X: 6, (5, 3): X: 3, (5, 4): X: 3, (5, 5): X: 3}
__X_________________XO_O_; X; {(1, 1): X: 3, (1, 2): X: 3, (1, 4): X: 3, (1, 5): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 1): X: 3, (3, 2): X: 6, (3, 3): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 3): X: 3, (5, 5): X: 3}
__X_______OX________XO_O_; X; {(1, 1): X: 3, (1, 2): X: 3, (1, 4): X: 3, (1, 5): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 6, (2, 4): X: 3, (2, 5): X: 3, (3, 3): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (4, 5): X: 3, (5, 3): X: 3, (5, 5): X: 3}
__X____X__OX_______OXO_O_; X; {(1, 1): X: 3, (1, 2): X: 3, (1, 4): X: 6, (1, 5): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 3): X: 3, (3, 4): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 3, (4, 4): X: 3, (5, 3): X: 3, (5, 5): X: 3}
__XX___X__OX_O_____OXO_O_; X; {(1, 1): X: 3, (1, 2): X: 3, (1, 5): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 3): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (4, 3): X: 6, (4, 4): X: 3, (5, 3): X: 3, (5, 5): X: 3}
__XX___X__OX_O___XOOXO_O_; X; {(1, 1): X: 3, (1, 2): X: 3, (1, 5): X: 6, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 3): X: 3, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (5, 3): X: 3, (5, 5): X: 3}
__XXX__X__OX_O___XOOXO_OO; X; {(1, 1): X: 3, (1, 2): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 3): X: 6, (3, 5): X: 3, (4, 1): X: 3, (4, 2): X: 3, (5, 3): X: 3}
__XXX__X__OXXO_O_XOOXO_OO; X; {(1, 1): X: 3, (1, 2): X: 3, (2, 1): X: 6, (2, 2): X: 3, (2, 4): X: 3, (2, 5): X: 3, (3, 5): X: 3, (4, 2): X: 3, (5, 3): X: 3}
__XXXX_X__OXXOOO_XOOXO_OO; X; {(1, 1): X: 3, (1, 2): X: 3, (2, 2): X: 6, (2, 4): X: 3, (2, 5): X: 3, (4, 2): X: 3, (5, 3): X: 3}
__XXXXXX_OOXXOOO_XOOXO_OO; X; {(1, 1): X: 3, (1, 2): X: 6, (2, 4): X: 3, (4, 2): X: 3, (5, 3): X: 3}
_XXXXXXX_OOXXOOO_XOOXOOOO; X; {(1, 1): X: 3, (2, 4): X: 6, (4, 2): X: 3}
OXXXXXXXXOOXXOOO_XOOXOOOO; X; {(4, 2): X: 6}
