Menace 2: O
_XOXO___X; O; {(1, 1): O: 4, (2, 3): O: 3, (3, 1): O: 9, (3, 2): O: 9}
XXOXO__OX; O; {(2, 3): O: 2, (3, 1): O: 24}
XX_X_OO__; O; {(1, 3): O: 6, (2, 2): O: 3, (3, 2): O: 1, (3, 3): O: 3}
XX_X_OOOX; O; {(1, 3): O: 2, (2, 2): O: 2}
_X__O_XOX; O; {(1, 1): O: 3, (2, 1): O: 25}
XOX_OO_XX; O; {(2, 1): O: 18, (3, 1): O: 4}
XX__OOX__; O; {(1, 3): O: 8, (2, 1): O: 15, (3, 2): O: 4, (3, 3): O: 3}
XOXX___O_; O; {(2, 2): O: 3, (2, 3): O: 1, (3, 1): O: 3, (3, 3): O: 11}
XOX_O_X__; O; {(2, 1): O: 6, (2, 3): O: 5, (3, 2): O: 27, (3, 3): O: 2}
XOXO_X___; O; {(3, 2): O: 1, (3, 3): O: 3}
XOXO_X_XO; O; {(2, 2): O: 11, (3, 1): O: 21}
XOXO_OXX_; O; {(2, 2): O: 12, (3, 3): O: 2}
X_X_XO__O; O; {(3, 2): O: 1}
X_X_XOOXO; O; {(1, 2): O: 46}
XXOOOXX__; O; {(3, 2): O: 22, (3, 3): O: 21}
XX_X___OO; O; {(1, 3): O: 3, (2, 2): O: 2, (2, 3): O: 3, (3, 1): O: 6}
XXO_O__X_; O; {(2, 1): O: 15, (2, 3): O: 3, (3, 1): O: 3, (3, 3): O: 3}
XO__OXX__; O; {(1, 3): O: 4, (2, 1): O: 3, (3, 2): O: 30, (3, 3): O: 2}
OX_X_____; O; {(1, 3): O: 2, (2, 2): O: 3, (2, 3): O: 3, (3, 3): O: 3}
OXOXX__OX; O; {(2, 3): O: 644}
_X_XOX_O_; O; {(1, 1): O: 6, (3, 1): O: 6}
XX_XOXOO_; O; {(1, 3): O: 6, (3, 3): O: 9}
OO__XX_X_; O; {(1, 3): O: 27, (2, 1): O: 16, (3, 1): O: 1, (3, 3): O: 3}
XO_XXO_XO; O; {(1, 3): O: 24, (3, 1): O: 8}
X_XO_X__O; O; {(1, 2): O: 6, (2, 2): O: 4, (3, 1): O: 5, (3, 2): O: 3}
XOX_O_OXX; O; {(2, 3): O: 116}
XO__XX_O_; O; {(1, 3): O: 1, (2, 1): O: 3, (3, 3): O: 14}
XOX_XXOO_; O; {(3, 3): O: 27}
X__XXO__O; O; {(1, 2): O: 6, (1, 3): O: 3, (3, 1): O: 13, (3, 2): O: 12}
X_XXXO_OO; O; {(1, 2): O: 3, (3, 1): O: 30}
OOX_XXOX_; O; {(2, 1): O: 15, (3, 3): O: 3}
XO_X_X_O_; O; {(1, 3): O: 5, (2, 2): O: 9, (3, 1): O: 3, (3, 3): O: 3}
XO___XXO_; O; {(1, 3): O: 6, (2, 1): O: 2, (2, 2): O: 9}
XO_OXXXO_; O; {(1, 3): O: 1}
XXO___X_O; O; {(2, 1): O: 10, (2, 2): O: 3, (2, 3): O: 99}
X_O__XX_O; O; {(1, 2): O: 4, (2, 1): O: 24, (2, 2): O: 2}
OXX_XX_OO; O; {(2, 1): O: 1, (3, 1): O: 21}
XOX___O_X; O; {(2, 1): O: 2, (2, 2): O: 3, (2, 3): O: 3, (3, 2): O: 1}
XX___XO_O; O; {(1, 3): O: 6, (2, 1): O: 1, (2, 2): O: 2, (3, 2): O: 12}
_X_XOXO__; O; {(1, 1): O: 3, (1, 3): O: 6, (3, 2): O: 12, (3, 3): O: 3}
_XXXOXOO_; O; {(1, 1): O: 3, (3, 3): O: 12}
XO__XXO__; O; {(2, 1): O: 3, (3, 2): O: 4, (3, 3): O: 5}
XO_OXOXX_; O; {(1, 3): O: 1, (3, 3): O: 1}
OXXXO____; O; {(2, 3): O: 17, (3, 1): O: 6, (3, 2): O: 7, (3, 3): O: 12}
OXXXOOX__; O; {(3, 2): O: 6, (3, 3): O: 36}
_X_X__XOO; O; {(1, 1): O: 2, (1, 3): O: 2, (2, 2): O: 4, (2, 3): O: 2}
X_X_X_O_O; O; {(1, 2): O: 5, (2, 1): O: 3, (3, 2): O: 60}
X___XXO_O; O; {(1, 2): O: 2, (1, 3): O: 1, (2, 1): O: 25, (3, 2): O: 72}
OXX___XO_; O; {(2, 1): O: 3, (2, 2): O: 6, (2, 3): O: 3, (3, 3): O: 5}
XO__O_XX_; O; {(2, 1): O: 2, (3, 3): O: 1}
_XOXO_XXO; O; {(1, 1): O: 12, (2, 3): O: 18}
XOXXX_O_O; O; {(2, 3): O: 12, (3, 2): O: 12}
XO___OXX_; O; {(1, 3): O: 3, (2, 1): O: 3, (2, 2): O: 2, (3, 3): O: 2}
X_XXOXO_O; O; {(1, 2): O: 3, (3, 2): O: 27}
XX_XO___O; O; {(1, 3): O: 2, (2, 3): O: 2}
XXOXOX__O; O; {(3, 1): O: 18, (3, 2): O: 2}
XOX_OXX_O; O; {(2, 1): O: 5, (3, 2): O: 33}
XOX_X___O; O; {(2, 1): O: 3, (2, 3): O: 1, (3, 1): O: 23, (3, 2): O: 1}
OOXXX____; O; {(2, 3): O: 2, (3, 1): O: 2, (3, 2): O: 2, (3, 3): O: 2}
XO_X_X__O; O; {(1, 3): O: 2, (2, 2): O: 3, (3, 1): O: 4, (3, 2): O: 2}
XOXX_XO_O; O; {(2, 2): O: 4, (3, 2): O: 6}
XOO____XX; O; {(2, 1): O: 1, (2, 2): O: 3, (3, 1): O: 4}
X_O____X_; O; {(1, 2): O: 1, (2, 1): O: 1, (2, 2): O: 2, (2, 3): O: 3, (3, 1): O: 20, (3, 3): O: 2}
XX__O_OX_; O; {(1, 3): O: 24, (2, 1): O: 3, (2, 3): O: 3, (3, 3): O: 6}
XXOX____O; O; {(2, 2): O: 6, (2, 3): O: 3, (3, 1): O: 12, (3, 2): O: 3}
XXOX_XO_O; O; {(2, 2): O: 12, (3, 2): O: 72}
XXO__X__O; O; {(2, 1): O: 3, (2, 2): O: 62, (3, 1): O: 206, (3, 2): O: 3}
XOOX____X; O; {(2, 2): O: 3, (2, 3): O: 3, (3, 1): O: 3, (3, 2): O: 1}
XX_XOO_OX; O; {(1, 3): O: 1}
XOO_OXX_X; O; {(2, 1): O: 2, (3, 2): O: 21}
XXO_XXO_O; O; {(3, 2): O: 93}
XO_OXX_XO; O; {(1, 3): O: 14}
XXO____XO; O; {(2, 1): O: 4, (2, 2): O: 24, (2, 3): O: 15, (3, 1): O: 2}
_O_XX_OX_; O; {(1, 1): O: 1, (2, 3): O: 170, (3, 3): O: 5}
XOO_XXOX_; O; {(2, 1): O: 2}
